,Date,Country,City,Specie,count,min,max,median,variance
713946,11/03/2020,IN,Thrissur,pm10,24,44.0,79.0,61.0,843.41
713947,27/01/2020,IN,Thrissur,pm10,24,61.0,119.0,74.0,1984.62
713948,26/03/2020,IN,Thrissur,pm10,24,45.0,74.0,54.0,652.01
713949,27/04/2020,IN,Thrissur,pm10,47,10.0,62.0,31.0,1414.78
713950,17/05/2020,IN,Thrissur,pm10,72,15.0,67.0,40.0,2062.5
713951,27/05/2020,IN,Thrissur,pm10,72,12.0,72.0,40.0,1781.06
713952,15/06/2020,IN,Thrissur,pm10,52,22.0,77.0,35.0,2491.58
713953,05/01/2020,IN,Thrissur,pm10,24,67.0,105.0,77.0,1119.98
713954,16/05/2020,IN,Thrissur,pm10,43,3.0,56.0,29.0,1842.66
713955,20/05/2020,IN,Thrissur,pm10,60,15.0,71.0,39.0,1554.73
713956,24/05/2020,IN,Thrissur,pm10,72,29.0,76.0,46.0,1415.49
713957,25/02/2020,IN,Thrissur,pm10,24,57.0,92.0,73.0,599.55
713958,05/06/2020,IN,Thrissur,pm10,72,7.0,39.0,18.0,581.96
713959,15/04/2020,IN,Thrissur,pm10,62,16.0,55.0,33.0,920.93
713960,25/04/2020,IN,Thrissur,pm10,55,14.0,70.0,44.0,2223.64
713961,26/04/2020,IN,Thrissur,pm10,46,5.0,70.0,51.0,3138.8
713962,30/04/2020,IN,Thrissur,pm10,70,15.0,62.0,40.0,804.89
713963,31/05/2020,IN,Thrissur,pm10,72,8.0,41.0,15.0,631.71
713964,17/06/2020,IN,Thrissur,pm10,48,22.0,66.0,45.0,1835.92
713965,21/02/2020,IN,Thrissur,pm10,24,25.0,999.0,72.0,712517.0
713966,27/03/2020,IN,Thrissur,pm10,25,47.0,76.0,62.0,610.27
713967,19/04/2020,IN,Thrissur,pm10,63,16.0,67.0,37.0,1230.39
713968,12/05/2020,IN,Thrissur,pm10,72,24.0,66.0,50.0,768.45
713969,20/06/2020,IN,Thrissur,pm10,62,8.0,71.0,40.0,1583.17
713970,23/06/2020,IN,Thrissur,pm10,59,6.0,113.0,43.0,5175.41
713971,12/01/2020,IN,Thrissur,pm10,24,28.0,148.0,75.0,12700.0
713972,19/01/2020,IN,Thrissur,pm10,24,32.0,125.0,60.0,7479.71
713973,09/02/2020,IN,Thrissur,pm10,24,36.0,112.0,66.0,4764.57
713974,16/03/2020,IN,Thrissur,pm10,24,56.0,90.0,68.0,841.14
713975,12/06/2020,IN,Thrissur,pm10,72,9.0,70.0,31.0,3094.63
713976,03/01/2020,IN,Thrissur,pm10,24,55.0,133.0,83.0,5831.14
713977,29/06/2020,IN,Thrissur,pm10,39,7.0,66.0,33.0,2763.66
713978,09/01/2020,IN,Thrissur,pm10,24,54.0,139.0,90.0,9702.54
713979,06/01/2020,IN,Thrissur,pm10,24,50.0,97.0,81.0,2138.24
713980,09/03/2020,IN,Thrissur,pm10,24,35.0,71.0,55.0,790.85
713981,04/04/2020,IN,Thrissur,pm10,61,21.0,56.0,40.0,823.17
713982,22/05/2020,IN,Thrissur,pm10,69,1.0,62.0,25.0,2044.02
713983,04/06/2020,IN,Thrissur,pm10,72,4.0,58.0,19.0,1296.14
713984,31/12/2019,IN,Thrissur,pm10,24,65.0,137.0,86.0,3728.91
713985,13/02/2020,IN,Thrissur,pm10,24,44.0,122.0,78.0,3527.54
713986,14/02/2020,IN,Thrissur,pm10,24,43.0,130.0,74.0,4170.65
713987,23/02/2020,IN,Thrissur,pm10,24,43.0,81.0,61.0,780.22
713988,28/03/2020,IN,Thrissur,pm10,43,41.0,69.0,55.0,512.18
713989,31/03/2020,IN,Thrissur,pm10,72,21.0,69.0,46.0,1139.06
713990,04/05/2020,IN,Thrissur,pm10,48,25.0,55.0,40.0,665.74
713991,13/05/2020,IN,Thrissur,pm10,67,8.0,61.0,30.0,1551.34
713992,08/02/2020,IN,Thrissur,pm10,24,39.0,80.0,59.0,1225.8
713993,18/06/2020,IN,Thrissur,pm10,48,19.0,70.0,44.0,1529.77
713994,19/06/2020,IN,Thrissur,pm10,59,11.0,66.0,32.0,2195.26
713995,14/05/2020,IN,Thrissur,pm10,50,15.0,60.0,36.0,1443.37
713996,06/02/2020,IN,Thrissur,pm10,24,55.0,130.0,66.0,4163.41
713997,27/02/2020,IN,Thrissur,pm10,14,47.0,97.0,60.0,2919.56
713998,08/03/2020,IN,Thrissur,pm10,24,47.0,83.0,57.0,624.18
713999,30/01/2020,IN,Thrissur,pm10,24,52.0,107.0,77.0,1749.98
714000,02/02/2020,IN,Thrissur,pm10,24,55.0,96.0,68.0,1368.91
714001,04/02/2020,IN,Thrissur,pm10,24,51.0,117.0,87.0,3683.46
714002,12/02/2020,IN,Thrissur,pm10,24,26.0,155.0,70.0,9247.75
714003,17/02/2020,IN,Thrissur,pm10,24,50.0,87.0,68.0,1184.76
714004,10/03/2020,IN,Thrissur,pm10,24,45.0,79.0,58.0,783.41
714005,18/05/2020,IN,Thrissur,pm10,72,13.0,67.0,36.0,2333.58
714006,30/12/2019,IN,Thrissur,pm10,24,70.0,107.0,84.0,1158.84
714007,14/03/2020,IN,Thrissur,pm10,24,51.0,83.0,63.0,707.54
714008,03/04/2020,IN,Thrissur,pm10,61,29.0,60.0,48.0,877.68
714009,11/04/2020,IN,Thrissur,pm10,72,13.0,54.0,30.0,1240.55
714010,10/05/2020,IN,Thrissur,pm10,72,8.0,63.0,35.0,1452.39
714011,03/06/2020,IN,Thrissur,pm10,72,2.0,47.0,16.0,1126.92
714012,27/06/2020,IN,Thrissur,pm10,72,6.0,59.0,28.0,1814.22
714013,04/03/2020,IN,Thrissur,pm10,24,41.0,91.0,67.0,1947.54
714014,22/03/2020,IN,Thrissur,pm10,24,40.0,67.0,58.0,519.55
714015,06/04/2020,IN,Thrissur,pm10,72,7.0,79.0,22.0,1543.71
714016,17/04/2020,IN,Thrissur,pm10,72,13.0,62.0,34.0,1541.68
714017,08/06/2020,IN,Thrissur,pm10,72,11.0,66.0,32.0,1921.67
714018,21/01/2020,IN,Thrissur,pm10,17,1.0,111.0,73.0,15367.6
714019,15/05/2020,IN,Thrissur,so2,52,0.3,18.0,2.6,107.16
714020,22/05/2020,IN,Thrissur,so2,72,1.2,13.8,3.1,56.92
