date,pm25,pm10,o3,no2,so2,co,city
22/02/2020,187,125,7,10,7,10,guwahati
23/02/2020,186,99,8,8,6,7,guwahati
24/02/2020,164,88,7,8,6,5,guwahati
25/02/2020,146,46,7,5,6,1,guwahati
26/02/2020,85,62,8,7,6,2,guwahati
27/02/2020,112,91,8,10,7,5,guwahati
28/02/2020,136,112,9,13,7,6,guwahati
29/02/2020,154,130,8,14,6,8,guwahati
01/03/2020,153,86,7,3,6,8,guwahati
02/03/2020,194,136,15,10,7,12,guwahati
03/03/2020,132,54,8,7,6,2,guwahati
04/03/2020,175,114,19,8,7,3,guwahati
05/03/2020,67,41,17,4,7,3,guwahati
06/03/2020,58,23,19,1,7,2,guwahati
07/03/2020,64,28,11,3,7,3,guwahati
13/03/2020,163,125,8,9,6,6,guwahati
14/03/2020,163,107,7,8,6,3,guwahati
15/03/2020,160,105,8,7,6,4,guwahati
16/03/2020,138,131,12,17,6,4,guwahati
17/03/2020,162,142,8,19,6,6,guwahati
18/03/2020,169,141,10,17,6,7,guwahati
19/03/2020,174,122,13,12,7,6,guwahati
20/03/2020,173,106,8,12,7,6,guwahati
21/03/2020,175,99,7,7,7,6,guwahati
22/03/2020,185,79,7,8,7,4,guwahati
23/03/2020,154,90,7,10,7,3,guwahati
24/03/2020,157,89,7,11,7,4,guwahati
25/03/2020,173,95,8,9,7,5,guwahati
26/03/2020,178,105,8,9,7,5,guwahati
27/03/2020,187,154,9,6,7,5,guwahati
28/03/2020,173,153,9,2,7,0,guwahati
29/03/2020,87,98,18,8,7,2,guwahati
30/03/2020,109,143,22,13,7,8,guwahati
31/03/2020,199,132,25,11,8,8,guwahati
01/04/2020,163,88,7,4,6,11,guwahati
02/04/2020,201,162,12,11,7,14,guwahati
03/04/2020,102,79,7,6,6,2,guwahati
04/04/2020,156,109,25,6,7,3,guwahati
05/04/2020,79,35,17,3,7,3,guwahati
06/04/2020,43,24,15,2,7,3,guwahati
07/04/2020,68,22,10,2,8,2,guwahati
13/04/2020,179,98,24,4,10,8,guwahati
14/04/2020,176,74,11,4,9,6,guwahati
15/04/2020,155,47,21,2,8,3,guwahati
16/04/2020,114,25,11,2,8,2,guwahati
17/04/2020,63,24,17,2,8,2,guwahati
18/04/2020,62,35,13,2,8,3,guwahati
19/04/2020,83,28,23,2,7,2,guwahati
20/04/2020,69,25,14,2,6,2,guwahati
21/04/2020,52,31,13,2,7,3,guwahati
22/04/2020,75,39,24,2,6,2,guwahati
23/04/2020,78,21,20,1,6,1,guwahati
24/04/2020,49,17,21,1,7,1,guwahati
25/04/2020,51,29,20,2,7,2,guwahati
26/04/2020,68,36,17,4,7,3,guwahati
27/04/2020,80,35,18,3,7,3,guwahati
28/04/2020,79,36,17,2,6,3,guwahati
29/04/2020,75,33,16,3,6,3,guwahati
30/04/2020,77,29,14,3,7,3,guwahati
01/05/2020,172,127,8,4,6,7,guwahati
02/05/2020,218,156,17,8,7,13,guwahati
03/05/2020,124,75,7,7,6,3,guwahati
04/05/2020,155,90,35,6,7,3,guwahati
05/05/2020,79,31,16,3,7,2,guwahati
06/05/2020,57,18,15,2,7,3,guwahati
07/05/2020,59,21,11,1,8,2,guwahati
13/05/2020,79,27,17,3,7,3,guwahati
14/05/2020,64,23,16,2,7,3,guwahati
15/05/2020,63,27,17,2,7,2,guwahati
16/05/2020,65,25,20,4,7,2,guwahati
17/05/2020,59,52,18,8,7,4,guwahati
18/05/2020,94,65,19,8,7,10,guwahati
19/05/2020,127,52,12,5,7,5,guwahati
20/05/2020,114,13,13,3,7,1,guwahati
21/05/2020,35,28,16,1,7,1,guwahati
22/05/2020,35,19,10,2,7,3,guwahati
23/05/2020,46,17,11,2,7,3,guwahati
24/05/2020,46,27,14,4,7,3,guwahati
25/05/2020,62,13,18,2,7,2,guwahati
26/05/2020,35,16,18,4,7,2,guwahati
27/05/2020,36,25,22,2,7,2,guwahati
28/05/2020,53,26,23,3,7,3,guwahati
29/05/2020,57,36,22,5,7,3,guwahati
30/05/2020,72,35,12,4,7,4,guwahati
31/05/2020,79,31,12,4,7,4,guwahati
01/06/2020,176,205,9,5,6,15,guwahati
02/06/2020,216,150,7,9,6,12,guwahati
03/06/2020,141,84,7,8,7,6,guwahati
04/06/2020,150,161,37,2,7,2,guwahati
05/06/2020,71,29,15,2,7,2,guwahati
06/06/2020,43,29,12,2,7,3,guwahati
07/06/2020,50,22,10,3,7,2,guwahati
13/06/2020,60,24,10,4,7,3,guwahati
14/06/2020,60,25,8,3,7,2,guwahati
15/06/2020,58,25,12,3,7,3,guwahati
16/06/2020,57,15,11,2,7,2,guwahati
17/06/2020,37,11,12,2,7,2,guwahati
18/06/2020,25,20,10,2,7,3,guwahati
19/06/2020,46,37,12,4,7,4,guwahati
20/06/2020,79,31,12,2,7,3,guwahati
21/06/2020,67,32,11,4,7,4,guwahati
22/06/2020,69,29,11,2,8,2,guwahati
23/06/2020,60,32,8,2,7,3,guwahati
24/06/2020,72,26,11,5,7,3,guwahati
25/06/2020,60,22,7,3,8,3,guwahati
26/06/2020,59,22,9,3,8,4,guwahati
27/06/2020,61,25,14,3,7,3,guwahati
28/06/2020,64,29,14,2,7,3,guwahati
29/06/2020,66,28,10,1,7,3,guwahati
30/06/2020,67,30,8,2,7,3,guwahati
01/07/2020,226,146,7,5,6,15,guwahati
02/07/2020,203,142,7,9,6,13,guwahati
03/07/2020,161,91,8,7,6,5,guwahati
04/07/2020,165,113,31,6,7,3,guwahati
05/07/2020,71,43,23,5,7,3,guwahati
06/07/2020,66,41,15,3,7,3,guwahati
07/07/2020,45,21,11,2,7,2,guwahati
13/07/2020,0,27,10,2,8,2,guwahati
14/07/2020,64,15,7,1,8,2,guwahati
15/07/2020,35,19,8,1,7,2,guwahati
16/07/2020,44,24,8,1,7,2,guwahati
17/07/2020,57,23,8,1,8,2,guwahati
18/07/2020,59,17,7,2,8,2,guwahati
19/07/2020,41,16,15,2,7,3,guwahati
20/07/2020,49,27,10,3,8,4,guwahati
21/07/2020,63,26,7,2,8,4,guwahati
