date,pm25,pm10,o3,no2,so2,co,city
2020-06-19,31,40,15,0,1,6,vapi
2020-06-20,71,26,1,0,1,8,vapi
2020-06-21,45,35,1,0,1,9,vapi
2020-06-22,49,24,1,0,1,9,vapi
2020-06-23,13,23,1,0,1,9,vapi
2020-06-24,39,25,1,0,1,9,vapi
2020-06-25,35,25,1,0,1,10,vapi
2020-06-26,51,24,1,0,1,11,vapi
2020-06-27,78,25,1,0,1,12,vapi
2020-06-28,51,19,1,0,1,12,vapi
2020-06-29,21,19,1,0,1,12,vapi
2020-06-30,0,11,1,0,1,13,vapi
2020-07-01,0,13,1,0,1,13,vapi
2020-07-02,0,15,1,0,1,14,vapi
2020-07-03,53,6,1,0,1,15,vapi
2020-07-04,34,6,1,0,0,16,vapi
2020-07-05,14,6,1,0,0,16,vapi
2020-07-06,0,8,1,0,1,16,vapi
2020-07-07,0,7,1,0,0,16,vapi
2020-07-08,30,23,1,0,0,16,vapi
2020-07-09,36,25,1,0,0,17,vapi
2020-07-10,34,27,1,0,1,16,vapi
2020-07-11,56,27,1,0,1,17,vapi
2020-07-12,31,16,1,0,1,16,vapi
2020-07-13,0,16,1,0,1,20,vapi
2020-07-14,19,16,1,0,1,18,vapi
2020-07-15,19,12,1,0,1,18,vapi
2020-07-16,17,8,1,0,1,18,vapi
2020-07-17,16,3,1,0,1,18,vapi
2020-07-18,34,11,1,0,0,18,vapi
2020-07-19,55,16,1,0,0,18,vapi
2020-07-20,50,21,1,0,0,18,vapi
2020-07-21,28,25,1,0,0,18,vapi
2020-07-22,20,26,3,0,0,17,vapi
2020-07-23,19,32,3,0,0,17,vapi
2020-07-24,16,25,3,0,0,16,vapi
2020-07-25,41,29,4,0,0,16,vapi
2020-07-26,43,21,4,0,0,18,vapi
2020-07-27,27,12,4,0,0,16,vapi
2020-07-28,24,10,3,0,0,15,vapi
2020-07-29,0,9,3,0,0,14,vapi
2020-01-01,169,107,18,13,3,5,kota
2020-01-02,164,87,29,14,4,5,kota
2020-01-03,152,120,20,13,4,6,kota
2020-01-04,151,91,21,12,3,5,kota
2020-01-05,139,71,38,10,7,10,kota
2020-01-06,107,94,21,9,3,6,kota
2020-01-07,138,65,22,8,3,4,kota
2020-01-08,119,55,28,11,3,4,kota
