,city,date,value
59,hisar,2019-11-29,-10.633
60,hisar,2019-11-30,-21.234
61,hisar,2019-12-01,-14.809000000000001
62,hisar,2019-12-02,-3.431
63,hisar,2019-12-03,-3.089
64,hisar,2019-12-04,-8.752
65,hisar,2019-12-05,-13.107000000000001
66,hisar,2019-12-06,-9.036
67,hisar,2019-12-07,-7.744
68,hisar,2019-12-08,-10.779000000000002
69,hisar,2019-12-09,-7.385
70,hisar,2019-12-10,-8.597000000000001
71,hisar,2019-12-11,-12.071
72,hisar,2019-12-12,-13.789000000000001
73,hisar,2019-12-13,-10.772
74,hisar,2019-12-14,-5.474
75,hisar,2019-12-15,-9.892000000000001
76,hisar,2019-12-16,-10.481
77,hisar,2019-12-17,-9.386000000000001
78,hisar,2019-12-18,-5.67
79,hisar,2019-12-19,-8.455
80,hisar,2019-12-20,-5.506
81,hisar,2019-12-21,-5.61
82,hisar,2019-12-22,-3.765
83,hisar,2019-12-23,-6.33
84,hisar,2019-12-24,-5.5920000000000005
85,hisar,2019-12-25,6.572
86,hisar,2019-12-26,4.735
87,hisar,2019-12-27,4.735
88,hisar,2019-12-28,2.042
89,hisar,2019-12-29,-2.779
0,noida,2019-10-01,-3.51
1,noida,2019-10-02,2.485
2,noida,2019-10-03,3.43
3,noida,2019-10-04,-0.057
4,noida,2019-10-05,-0.402
5,noida,2019-10-06,-4.598
6,noida,2019-10-07,1.569
7,noida,2019-10-08,1.023
8,noida,2019-10-09,-4.312
9,noida,2019-10-10,-6.103
10,noida,2019-10-11,-0.9740000000000001
11,noida,2019-10-12,0.12300000000000001
12,noida,2019-10-13,-4.407
13,noida,2019-10-14,-2.95
14,noida,2019-10-15,0.527
15,noida,2019-10-16,2.932
16,noida,2019-10-17,3.2460000000000004
17,noida,2019-10-18,-3.32
18,noida,2019-10-19,6.16
19,noida,2019-10-20,-2.017
20,noida,2019-10-21,-2.529
21,noida,2019-10-22,-4.2780000000000005
22,noida,2019-10-23,-1.0590000000000002
23,noida,2019-10-24,-0.623
24,noida,2019-10-25,3.573
25,noida,2019-10-26,-0.013000000000000001
26,noida,2019-10-27,-2.314
27,noida,2019-10-28,-2.064
28,noida,2019-10-29,-0.703
29,noida,2019-10-30,1.229
30,noida,2019-10-31,-1.068
31,noida,2019-11-01,-7.704
32,noida,2019-11-02,-7.9670000000000005
33,noida,2019-11-03,-8.013
34,noida,2019-11-04,-10.043
35,noida,2019-11-05,-4.627
36,noida,2019-11-06,-2.254
37,noida,2019-11-07,-1.5819999999999999
38,noida,2019-11-08,2.8760000000000003
39,noida,2019-11-09,4.476
40,noida,2019-11-10,4.247
41,noida,2019-11-11,1.9380000000000002
42,noida,2019-11-12,5.1579999999999995
43,noida,2019-11-13,-2.052
44,noida,2019-11-14,-5.681
45,noida,2019-11-15,-1.4140000000000001
46,noida,2019-11-16,5.117
47,noida,2019-11-17,0.42200000000000004
48,noida,2019-11-18,-2.013
49,noida,2019-11-19,4.455
50,noida,2019-11-20,2.585
51,noida,2019-11-21,0.306
52,noida,2019-11-22,0.687
53,noida,2019-11-23,1.044
54,noida,2019-11-24,-5.181
55,noida,2019-11-25,-2.655
56,noida,2019-11-26,-1.851
57,noida,2019-11-27,-3.552
58,noida,2019-11-28,-6.557
59,noida,2019-11-29,-12.052999999999999
60,noida,2019-11-30,-15.333
61,noida,2019-12-01,-12.335999999999999
62,noida,2019-12-02,-2.426
63,noida,2019-12-03,-2.696
64,noida,2019-12-04,-7.0920000000000005
65,noida,2019-12-05,-11.19
66,noida,2019-12-06,-8.791
67,noida,2019-12-07,-5.254
68,noida,2019-12-08,-3.432
69,noida,2019-12-09,-2.2569999999999997
70,noida,2019-12-10,-1.935
71,noida,2019-12-11,-8.51
72,noida,2019-12-12,-10.919
73,noida,2019-12-13,-7.905
74,noida,2019-12-14,-5.055
75,noida,2019-12-15,-6.811
76,noida,2019-12-16,-4.742
77,noida,2019-12-17,-4.399
78,noida,2019-12-18,-10.004
79,noida,2019-12-19,-6.269
80,noida,2019-12-20,-3.1180000000000003
81,noida,2019-12-21,-2.603
82,noida,2019-12-22,-5.35
83,noida,2019-12-23,-6.765
84,noida,2019-12-24,-5.5729999999999995
85,noida,2019-12-25,6.9910000000000005
86,noida,2019-12-26,3.2680000000000002
87,noida,2019-12-27,0.608
88,noida,2019-12-28,-1.883
89,noida,2019-12-29,-7.94
0,embassy,2019-10-01,-4.696000000000001
1,embassy,2019-10-02,1.4409999999999998
2,embassy,2019-10-03,3.583
3,embassy,2019-10-04,0.633
4,embassy,2019-10-05,0.064
5,embassy,2019-10-06,-4.23
6,embassy,2019-10-07,1.315
7,embassy,2019-10-08,-0.040999999999999995
8,embassy,2019-10-09,-5.515
9,embassy,2019-10-10,-6.925
10,embassy,2019-10-11,-1.226
11,embassy,2019-10-12,0.7190000000000001
12,embassy,2019-10-13,-4.266
13,embassy,2019-10-14,-4.6339999999999995
14,embassy,2019-10-15,0.4
15,embassy,2019-10-16,2.166
16,embassy,2019-10-17,3.8960000000000004
17,embassy,2019-10-18,0.9259999999999999
18,embassy,2019-10-19,6.71
19,embassy,2019-10-20,-3.9160000000000004
20,embassy,2019-10-21,-0.966
21,embassy,2019-10-22,-4.216
22,embassy,2019-10-23,-0.7829999999999999
23,embassy,2019-10-24,-0.54
24,embassy,2019-10-25,3.065
25,embassy,2019-10-26,0.266
26,embassy,2019-10-27,-2.22
27,embassy,2019-10-28,-2.1319999999999997
28,embassy,2019-10-29,-0.607
29,embassy,2019-10-30,0.9079999999999999
30,embassy,2019-10-31,-1.137
31,embassy,2019-11-01,-8.615
32,embassy,2019-11-02,-9.617
33,embassy,2019-11-03,-8.695
34,embassy,2019-11-04,-11.675999999999998
35,embassy,2019-11-05,-5.352
36,embassy,2019-11-06,-3.1260000000000003
37,embassy,2019-11-07,-3.1719999999999997
38,embassy,2019-11-08,2.127
39,embassy,2019-11-09,5.461
40,embassy,2019-11-10,4.649
41,embassy,2019-11-11,3.218
42,embassy,2019-11-12,5.602
43,embassy,2019-11-13,-3.1310000000000002
44,embassy,2019-11-14,-7.462999999999999
45,embassy,2019-11-15,-3.2319999999999998
46,embassy,2019-11-16,5.135
47,embassy,2019-11-17,-0.5529999999999999
48,embassy,2019-11-18,-2.498
49,embassy,2019-11-19,5.223
50,embassy,2019-11-20,2.99
51,embassy,2019-11-21,-1.275
52,embassy,2019-11-22,0.596
53,embassy,2019-11-23,0.941
54,embassy,2019-11-24,-7.081
55,embassy,2019-11-25,-3.5
56,embassy,2019-11-26,-3.092
57,embassy,2019-11-27,-3.335
58,embassy,2019-11-28,-7.829
59,embassy,2019-11-29,-11.744000000000002
60,embassy,2019-11-30,-17.087
61,embassy,2019-12-01,-13.637
62,embassy,2019-12-02,-3.0239999999999996
63,embassy,2019-12-03,-4.013
64,embassy,2019-12-04,-7.898
65,embassy,2019-12-05,-12.447000000000001
66,embassy,2019-12-06,-9.301
67,embassy,2019-12-07,-5.53
68,embassy,2019-12-08,-4.772
69,embassy,2019-12-09,-3.225
70,embassy,2019-12-10,-3.488
71,embassy,2019-12-11,-9.92
72,embassy,2019-12-12,-12.152999999999999
73,embassy,2019-12-13,-10.228
74,embassy,2019-12-14,-7.55
75,embassy,2019-12-15,-8.916
76,embassy,2019-12-16,-5.985
77,embassy,2019-12-17,-6.045
78,embassy,2019-12-18,-13.239
79,embassy,2019-12-19,-7.428
80,embassy,2019-12-20,-4.338
81,embassy,2019-12-21,-3.367
82,embassy,2019-12-22,-4.692
83,embassy,2019-12-23,-5.734
84,embassy,2019-12-24,-5.473
85,embassy,2019-12-25,7.497000000000001
86,embassy,2019-12-26,3.562
87,embassy,2019-12-27,1.79
88,embassy,2019-12-28,-3.0580000000000003
89,embassy,2019-12-29,-8.686
0,jind,2019-10-01,-6.497000000000001
1,jind,2019-10-02,-0.126
2,jind,2019-10-03,3.8560000000000003
3,jind,2019-10-04,1.204
4,jind,2019-10-05,0.483
5,jind,2019-10-06,-4.107
6,jind,2019-10-07,0.6609999999999999
7,jind,2019-10-08,-1.912
8,jind,2019-10-09,-7.252999999999999
9,jind,2019-10-10,-7.904
10,jind,2019-10-11,-1.805
11,jind,2019-10-12,1.534
12,jind,2019-10-13,-3.906
13,jind,2019-10-14,-5.7139999999999995
14,jind,2019-10-15,-0.53
15,jind,2019-10-16,1.501
16,jind,2019-10-17,5.242000000000001
17,jind,2019-10-18,5.591
18,jind,2019-10-19,7.579
19,jind,2019-10-20,0.6890000000000001
20,jind,2019-10-21,3.688
21,jind,2019-10-22,-4.302
22,jind,2019-10-23,-0.217
23,jind,2019-10-24,-0.132
24,jind,2019-10-25,2.351
25,jind,2019-10-26,0.569
26,jind,2019-10-27,-2.6689999999999996
27,jind,2019-10-28,-2.142
28,jind,2019-10-29,-0.667
29,jind,2019-10-30,0.598
30,jind,2019-10-31,-1.203
31,jind,2019-11-01,-8.77
32,jind,2019-11-02,-11.892000000000001
33,jind,2019-11-03,-10.347000000000001
34,jind,2019-11-04,-12.475999999999999
35,jind,2019-11-05,-6.855
36,jind,2019-11-06,-4.437
37,jind,2019-11-07,-4.447
38,jind,2019-11-08,-0.284
39,jind,2019-11-09,5.405
40,jind,2019-11-10,4.553999999999999
41,jind,2019-11-11,4.48
42,jind,2019-11-12,5.3629999999999995
43,jind,2019-11-13,-4.2860000000000005
44,jind,2019-11-14,-9.533999999999999
45,jind,2019-11-15,-6.061
46,jind,2019-11-16,4.121
47,jind,2019-11-17,-2.082
