,city,date,value
74,hisar,2019-12-14,-0.6990000000000001
75,hisar,2019-12-15,-1.4569999999999999
76,hisar,2019-12-16,-4.628
77,hisar,2019-12-17,-6.627999999999999
78,hisar,2019-12-18,3.972
79,hisar,2019-12-19,-4.166
80,hisar,2019-12-20,-1.561
81,hisar,2019-12-21,-5.8839999999999995
82,hisar,2019-12-22,-4.01
83,hisar,2019-12-23,7.524
84,hisar,2019-12-24,12.073
85,hisar,2019-12-25,-6.817
86,hisar,2019-12-26,-8.455
87,hisar,2019-12-27,3.403
88,hisar,2019-12-28,3.713
89,hisar,2019-12-29,-6.795
0,noida,2019-10-01,-4.62
1,noida,2019-10-02,-4.0280000000000005
2,noida,2019-10-03,0.09300000000000001
3,noida,2019-10-04,1.403
4,noida,2019-10-05,5.468
5,noida,2019-10-06,5.497999999999999
6,noida,2019-10-07,7.468
7,noida,2019-10-08,5.143
8,noida,2019-10-09,-1.8159999999999998
9,noida,2019-10-10,-2.884
10,noida,2019-10-11,-7.978
11,noida,2019-10-12,-10.557
12,noida,2019-10-13,-9.485
13,noida,2019-10-14,-2.673
14,noida,2019-10-15,1.686
15,noida,2019-10-16,5.796
16,noida,2019-10-17,2.5639999999999996
17,noida,2019-10-18,-7.693
18,noida,2019-10-19,-11.6
19,noida,2019-10-20,-5.904
20,noida,2019-10-21,-13.847000000000001
21,noida,2019-10-22,-12.397
22,noida,2019-10-23,-12.735999999999999
23,noida,2019-10-24,-11.199000000000002
24,noida,2019-10-25,-6.205
25,noida,2019-10-26,-2.528
26,noida,2019-10-27,-6.9510000000000005
27,noida,2019-10-28,-9.422
28,noida,2019-10-29,-9.338
29,noida,2019-10-30,-5.672000000000001
30,noida,2019-10-31,-4.7669999999999995
31,noida,2019-11-01,1.841
32,noida,2019-11-02,-2.394
33,noida,2019-11-03,-4.325
34,noida,2019-11-04,-8.911
35,noida,2019-11-05,-6.7589999999999995
36,noida,2019-11-06,-2.72
37,noida,2019-11-07,-0.365
38,noida,2019-11-08,4.46
39,noida,2019-11-09,7.216
40,noida,2019-11-10,-3.5810000000000004
41,noida,2019-11-11,2.897
42,noida,2019-11-12,4.95
43,noida,2019-11-13,4.475
44,noida,2019-11-14,1.2930000000000001
45,noida,2019-11-15,-0.6
46,noida,2019-11-16,5.606
47,noida,2019-11-17,4.553
