Date,Country,City,Specie,count,min,max,median,variance
07/06/2019,IN,Bengaluru,co,177,1,29.5,6.5,243.48
08/06/2019,IN,Bengaluru,co,169,2.1,25.9,6.3,174.48
09/06/2019,IN,Bengaluru,co,188,1,27,5.1,129.21
10/06/2019,IN,Bengaluru,co,183,0.8,24.9,4.5,111.49
11/06/2019,IN,Bengaluru,co,224,1,69.3,4.5,547.43
12/06/2019,IN,Bengaluru,co,241,0.1,25.1,4.4,184.61
13/06/2019,IN,Bengaluru,co,244,0.2,23,5.2,174.13
14/06/2019,IN,Bengaluru,co,249,0.3,25.5,4.8,199.57
15/06/2019,IN,Bengaluru,co,246,0.1,49.1,5.7,257.88
16/06/2019,IN,Bengaluru,co,197,0.7,31.2,5,162.5
17/06/2019,IN,Bengaluru,co,217,0.5,21.4,5.8,175.97
18/06/2019,IN,Bengaluru,co,216,0.3,20.1,5.6,188.6
19/06/2019,IN,Bengaluru,co,232,0.7,67.3,5.5,486.95
20/06/2019,IN,Bengaluru,co,261,0.4,21.9,4.9,144.85
21/06/2019,IN,Bengaluru,co,261,0.3,20.3,5.5,164.48
22/06/2019,IN,Bengaluru,co,252,0.2,24.8,5.7,190.77
23/06/2019,IN,Bengaluru,co,257,1.7,18.4,5.5,119.12
24/06/2019,IN,Bengaluru,co,226,1.4,26.4,6.3,186.25
25/06/2019,IN,Bengaluru,co,253,0.6,46.9,6.2,210.04
26/06/2019,IN,Bengaluru,co,248,0.4,47.1,5.4,271.23
27/06/2019,IN,Bengaluru,co,246,0.5,23.8,5.9,141.71
28/06/2019,IN,Bengaluru,co,213,0.4,24.8,4.7,178.79
29/06/2019,IN,Bengaluru,co,226,1,24.8,6.2,146.96
30/06/2019,IN,Bengaluru,co,217,1,13.8,5.6,92.91
01/07/2019,IN,Bengaluru,co,222,0.9,47.6,5.7,230.88
02/07/2019,IN,Bengaluru,co,240,0.8,25.4,6,155.49
03/07/2019,IN,Bengaluru,co,211,0.5,19.8,5.6,128.72
04/07/2019,IN,Bengaluru,co,222,1,47.6,5.6,319.92
05/07/2019,IN,Bengaluru,co,238,1.3,19.1,5.6,141.82
06/07/2019,IN,Bengaluru,co,209,1,21.3,5.6,208.57
07/07/2019,IN,Bengaluru,co,189,1.5,19.2,6.5,162.22
08/07/2019,IN,Bengaluru,co,205,1,27.3,5.7,223.86
09/07/2019,IN,Bengaluru,co,220,1,48.8,6.8,310.01
10/07/2019,IN,Bengaluru,co,240,1,20.6,6.5,144.4
11/07/2019,IN,Bengaluru,co,257,0.9,27.6,7.4,181.69
12/07/2019,IN,Bengaluru,co,264,0.4,67.4,6.1,294.26
13/07/2019,IN,Bengaluru,co,261,0.1,19.3,5.7,146.3
14/07/2019,IN,Bengaluru,co,263,1.4,17.1,6.4,131.65
15/07/2019,IN,Bengaluru,co,254,1,29.3,6.5,180.46
16/07/2019,IN,Bengaluru,co,248,1.3,31.7,5.7,234.69
17/07/2019,IN,Bengaluru,co,234,0.7,36.3,6.1,245.33
18/07/2019,IN,Bengaluru,co,233,0.4,67.5,6.1,404.3
19/07/2019,IN,Bengaluru,co,239,0.8,28.8,5.5,187.46
20/07/2019,IN,Bengaluru,co,240,1,14.1,5.1,55
21/07/2019,IN,Bengaluru,co,261,1,25.6,5.3,154.94
