,Unnamed: 0,Date,Country,City,Specie,count,min,max,median,variance
3059,202503,2021-06-06,IN,Hyderabad,no2,116,0.1,29.8,4.9,240.1
3060,202504,2021-06-07,IN,Hyderabad,no2,116,0.4,14.7,5.4,154.94
3061,202505,2020-12-29,IN,Hyderabad,no2,120,5.3,50.6,17.5,1489.21
3062,202506,2021-05-02,IN,Hyderabad,no2,120,1.0,25.9,9.5,501.3
3063,202507,2021-05-31,IN,Hyderabad,no2,103,0.2,14.1,6.1,194.16
3064,202508,2021-06-02,IN,Hyderabad,no2,96,0.1,21.0,8.5,357.44
3065,202509,2021-06-12,IN,Hyderabad,no2,76,0.1,11.9,7.0,131.73
3066,202510,2021-06-15,IN,Hyderabad,no2,118,0.1,14.4,7.4,182.59
3067,202511,2021-01-02,IN,Hyderabad,no2,120,4.1,50.0,15.0,1788.45
3068,202512,2021-02-18,IN,Hyderabad,no2,107,2.3,59.6,11.1,2054.42
3069,202513,2021-04-21,IN,Hyderabad,no2,120,1.6,37.1,12.1,523.74
3070,202514,2021-06-09,IN,Hyderabad,no2,103,0.1,17.9,7.1,170.84
3071,202515,2021-02-01,IN,Hyderabad,no2,96,3.5,37.2,11.1,510.13
3072,202516,2021-02-08,IN,Hyderabad,no2,120,2.4,63.7,19.2,2396.48
3073,202517,2021-03-16,IN,Hyderabad,no2,87,2.6,46.0,15.3,1304.22
3074,202518,2021-03-25,IN,Hyderabad,no2,120,2.7,76.5,22.9,2368.18
3075,202519,2021-04-28,IN,Hyderabad,no2,120,1.4,36.5,15.7,795.12
3076,202520,2021-05-08,IN,Hyderabad,no2,120,0.2,24.9,9.9,406.85
3077,202521,2021-02-14,IN,Hyderabad,no2,96,3.1,43.6,16.1,850.99
3078,202522,2021-03-04,IN,Hyderabad,no2,120,2.5,98.6,17.1,2082.01
3079,202523,2021-05-28,IN,Hyderabad,no2,115,0.3,24.3,7.4,213.09
3080,202524,2021-05-29,IN,Hyderabad,no2,92,0.3,13.3,9.0,194.75
3081,202525,2021-04-25,IN,Hyderabad,no2,98,0.1,29.4,12.9,526.93
3082,202526,2021-05-12,IN,Hyderabad,no2,115,0.2,18.8,6.0,258.62
3083,202527,2021-01-11,IN,Hyderabad,no2,79,6.1,77.5,29.6,1645.14
3084,202528,2021-02-07,IN,Hyderabad,no2,120,3.3,56.5,20.8,2213.74
3085,202529,2021-02-25,IN,Hyderabad,no2,92,2.9,104.4,17.5,3053.59
3086,202530,2021-06-16,IN,Hyderabad,no2,19,1.0,17.2,7.2,233.42
3087,202531,2020-12-31,IN,Hyderabad,no2,120,3.8,48.3,14.5,1832.5
3088,202532,2021-01-21,IN,Hyderabad,no2,91,0.1,38.1,17.6,1018.44
3089,202533,2021-02-27,IN,Hyderabad,no2,100,1.5,102.2,22.7,3094.2
3090,202534,2021-03-17,IN,Hyderabad,no2,103,2.1,43.8,16.2,1511.79
3091,202535,2021-06-03,IN,Hyderabad,no2,111,0.9,23.9,8.5,322.48
3092,202536,2021-06-11,IN,Hyderabad,no2,83,0.1,15.7,6.5,171.48
3093,202537,2021-01-03,IN,Hyderabad,no2,109,4.3,49.4,14.9,1951.73
3094,202538,2021-02-11,IN,Hyderabad,no2,117,3.9,57.3,19.3,1793.86
3095,202539,2021-03-07,IN,Hyderabad,no2,97,2.2,44.0,19.6,1526.93
3096,202540,2021-04-02,IN,Hyderabad,no2,120,1.1,102.0,17.8,2724.58
3097,202541,2021-04-17,IN,Hyderabad,no2,120,1.5,48.5,14.7,992.68
3098,202542,2021-01-14,IN,Hyderabad,no2,120,2.8,42.5,13.8,1270.84
3099,202543,2021-01-29,IN,Hyderabad,no2,96,2.3,33.9,10.6,459.35
3100,202544,2021-04-11,IN,Hyderabad,no2,120,2.3,33.6,8.7,629.82
3101,202545,2021-05-17,IN,Hyderabad,no2,101,0.1,16.9,4.8,191.65
3102,202546,2021-02-24,IN,Hyderabad,no2,106,4.2,100.0,23.3,2910.2
3103,202547,2021-03-18,IN,Hyderabad,no2,120,0.6,43.8,13.1,1266.51
3104,202548,2021-04-09,IN,Hyderabad,no2,110,1.4,35.6,17.9,739.07
3105,202549,2021-04-22,IN,Hyderabad,no2,119,2.2,27.9,9.3,457.18
3106,202550,2021-04-26,IN,Hyderabad,no2,112,0.1,32.2,11.8,663.64
3107,202551,2021-05-18,IN,Hyderabad,no2,105,0.1,18.1,7.9,249.76
3108,202552,2020-12-30,IN,Hyderabad,no2,113,3.9,51.5,14.5,1976.74
3109,202553,2021-04-29,IN,Hyderabad,no2,113,1.5,43.6,15.5,727.88
3110,202554,2021-04-30,IN,Hyderabad,no2,111,0.9,29.1,12.6,553.35
3111,202555,2021-01-07,IN,Hyderabad,no2,120,3.4,45.2,18.5,1062.87
3112,202556,2021-01-09,IN,Hyderabad,no2,88,3.3,34.0,11.5,694.59
3113,202557,2021-02-23,IN,Hyderabad,no2,120,2.9,103.8,22.4,3014.78
3114,202558,2021-02-28,IN,Hyderabad,no2,120,2.3,85.6,22.0,2910.73
3115,202559,2021-03-01,IN,Hyderabad,no2,120,1.7,62.2,14.7,1891.32
3116,202560,2021-03-21,IN,Hyderabad,no2,120,2.5,45.9,13.7,1456.82
3117,202561,2021-05-01,IN,Hyderabad,no2,120,1.8,31.2,12.1,511.93
3118,202562,2021-01-06,IN,Hyderabad,no2,120,2.7,39.6,13.6,1167.45
3119,202563,2021-02-10,IN,Hyderabad,no2,113,3.3,56.6,23.7,2289.17
3120,202564,2021-04-05,IN,Hyderabad,no2,107,2.5,32.9,17.4,696.23
3121,202565,2021-04-24,IN,Hyderabad,no2,119,0.7,39.2,13.2,683.03
3122,202566,2021-05-14,IN,Hyderabad,no2,118,0.3,17.9,8.5,228.05
3123,202567,2021-01-24,IN,Hyderabad,no2,73,2.3,28.9,10.4,386.51
3124,202568,2021-02-20,IN,Hyderabad,no2,96,3.3,31.0,13.5,319.52
3125,202569,2021-04-06,IN,Hyderabad,no2,109,2.0,33.6,14.1,656.2
3126,202570,2021-04-10,IN,Hyderabad,no2,117,2.8,32.9,11.9,712.33
3127,202571,2021-06-04,IN,Hyderabad,no2,113,0.1,19.6,8.1,251.37
3128,202572,2021-06-13,IN,Hyderabad,no2,72,0.2,13.0,6.6,128.05
3129,202573,2021-02-24,IN,Hyderabad,pressure,126,-2815.6,1292.2,714.0,1155900.0
3130,202574,2021-03-05,IN,Hyderabad,pressure,136,704.2,1048.0,714.2,118396.0
3131,202575,2021-03-14,IN,Hyderabad,pressure,136,705.0,1018.0,713.0,96670.1
3132,202576,2021-05-06,IN,Hyderabad,pressure,144,705.0,1015.0,710.0,127139.0
3133,202577,2021-05-09,IN,Hyderabad,pressure,144,704.0,1014.0,709.0,126533.0
3134,202578,2021-06-01,IN,Hyderabad,pressure,144,701.7,1011.0,707.5,126061.0
3135,202579,2021-01-06,IN,Hyderabad,pressure,136,707.0,1019.0,713.0,96606.3
3136,202580,2021-01-23,IN,Hyderabad,pressure,109,705.7,1018.0,713.7,116085.0
