City,date,pm25,pm10,o3,co
Delhi,28/03/2020,117,58,5,28
Delhi,29/03/2020,73,53,2,13
Delhi,30/03/2020,100,57,1,13
Delhi,31/03/2020,99,62,2,14
Delhi,01/04/2020,104,56,2,15
Delhi,02/04/2020,94,51,2,14
Delhi,03/04/2020,96,59,2,15
Delhi,04/04/2020,113,94,2,18
Delhi,05/04/2020,147,85,2,17
Delhi,06/04/2020,135,71,2,15
Delhi,07/04/2020,89,61,3,14
Delhi,08/04/2020,91,59,2,17
Delhi,09/04/2020,109,79,2,17
Delhi,10/04/2020,131,81,33,14
Delhi,11/04/2020,128,64,28,11
Delhi,12/04/2020,108,88,32,11
Delhi,13/04/2020,139,99,40,13
Delhi,14/04/2020,144,114,30,12
Delhi,15/04/2020,143,124,33,11
Delhi,16/04/2020,145,66,32,9
Delhi,17/04/2020,84,70,30,10
Delhi,18/04/2020,91,54,23,12
Delhi,19/04/2020,105,87,15,12
Delhi,20/04/2020,127,63,24,11
Delhi,21/04/2020,114,89,30,12
Delhi,22/04/2020,139,90,27,13
Delhi,23/04/2020,132,81,31,13
Delhi,24/04/2020,142,63,29,11
Delhi,25/04/2020,85,80,19,12
Delhi,26/04/2020,104,46,23,11
Delhi,27/04/2020,85,60,30,11
Delhi,28/04/2020,115,77,32,12
Delhi,29/04/2020,137,79,34,13
Delhi,30/04/2020,137,92,31,12
Delhi,01/05/2020,151,79,22,13
Delhi,02/05/2020,99,62,13,12
Delhi,03/05/2020,96,45,23,13
Delhi,04/05/2020,81,72,23,13
Delhi,05/05/2020,126,106,26,13
Delhi,06/05/2020,144,58,32,13
Delhi,07/05/2020,93,76,36,13
Delhi,08/05/2020,124,83,33,13
Delhi,09/05/2020,140,103,42,11
Delhi,10/05/2020,114,68,36,11
Delhi,11/05/2020,120,70,34,12
Delhi,12/05/2020,123,104,32,15
Delhi,13/05/2020,159,81,28,13
Delhi,14/05/2020,144,74,28,14
Delhi,15/05/2020,125,89,34,14
Delhi,16/05/2020,152,113,37,13
Delhi,17/05/2020,177,119,34,15
Delhi,18/05/2020,175,131,31,15
Delhi,19/05/2020,180,97,29,13
Delhi,20/05/2020,142,102,21,14
Delhi,21/05/2020,119,148,29,17
Delhi,22/05/2020,192,128,10,14
Delhi,23/05/2020,141,107,16,13
Delhi,24/05/2020,128,101,16,15
Delhi,25/05/2020,132,127,10,15
Delhi,26/05/2020,130,111,24,13
Delhi,27/05/2020,118,138,8,13
Delhi,28/05/2020,98,52,2,12
Delhi,29/05/2020,76,49,3,12
Delhi,30/05/2020,78,38,2,13
Delhi,31/05/2020,77,48,1,15
Delhi,01/06/2020,105,50,5,15
Delhi,02/06/2020,106,51,6,16
Delhi,03/06/2020,139,104,10,14
Delhi,04/06/2020,156,72,36,13
Delhi,05/06/2020,117,68,43,12
Delhi,06/06/2020,105,64,25,11
Mumbai,01/01/2020,173,101,37,8
Mumbai,02/01/2020,179,90,34,6
Mumbai,03/01/2020,170,89,35,8
Mumbai,04/01/2020,170,94,24,9
Mumbai,05/01/2020,164,119,38,8
Mumbai,06/01/2020,211,88,37,9
Mumbai,07/01/2020,162,60,95,6
Mumbai,08/01/2020,131,74,33,7
Mumbai,09/01/2020,144,83,34,7
Mumbai,10/01/2020,153,89,40,7
Mumbai,11/01/2020,156,88,44,8
Mumbai,12/01/2020,163,74,28,6
Mumbai,13/01/2020,138,57,32,4
Mumbai,14/01/2020,94,54,33,4
Mumbai,15/01/2020,81,53,34,4
Mumbai,16/01/2020,95,52,22,5
Mumbai,17/01/2020,109,95,22,8
Mumbai,18/01/2020,162,94,52,8
Mumbai,19/01/2020,160,93,49,9
Mumbai,20/01/2020,161,87,59,9
Mumbai,21/01/2020,154,75,48,7
Mumbai,22/01/2020,135,85,49,7
Mumbai,23/01/2020,153,79,48,7
Mumbai,24/01/2020,147,90,51,8
Mumbai,25/01/2020,157,91,69,8
Mumbai,26/01/2020,160,69,38,7
Mumbai,27/01/2020,123,53,23,4
Mumbai,28/01/2020,75,60,32,3
Mumbai,29/01/2020,65,80,57,6
Mumbai,30/01/2020,130,84,48,7
Mumbai,31/01/2020,148,87,49,7
Mumbai,01/02/2020,155,101,46,8
Mumbai,02/02/2020,163,93,49,8
Mumbai,03/02/2020,167,84,53,7
Mumbai,04/02/2020,156,84,49,6
Mumbai,05/02/2020,141,73,45,5
Mumbai,06/02/2020,117,75,40,6
Mumbai,07/02/2020,120,89,39,7
Mumbai,08/02/2020,155,86,33,5
Mumbai,09/02/2020,156,78,34,6
Mumbai,10/02/2020,136,117,117,9
Mumbai,11/02/2020,175,79,38,9
Mumbai,12/02/2020,140,78,35,10
Mumbai,13/02/2020,140,74,38,8
Mumbai,14/02/2020,124,83,39,9
Mumbai,15/02/2020,129,102,52,11
Mumbai,16/02/2020,155,133,46,11
Mumbai,17/02/2020,192,107,50,11
Mumbai,18/02/2020,163,102,46,12
Mumbai,19/02/2020,164,75,17,9
Mumbai,20/02/2020,134,58,14,8
Mumbai,21/02/2020,99,76,21,10
Mumbai,22/02/2020,126,95,25,11
Mumbai,23/02/2020,147,110,30,13
Mumbai,24/02/2020,170,77,15,9
Mumbai,25/02/2020,112,74,21,9
Mumbai,26/02/2020,104,85,32,10
Mumbai,27/02/2020,131,95,30,12
Mumbai,28/02/2020,148,82,22,11
Mumbai,29/02/2020,133,71,17,10
Mumbai,01/03/2020,121,76,12,9
Mumbai,02/03/2020,111,81,10,8
Mumbai,03/03/2020,114,82,10,8
Mumbai,04/03/2020,134,78,9,7
Mumbai,05/03/2020,373,75,7,6
Mumbai,06/03/2020,75,82,15,6
Mumbai,07/03/2020,82,73,17,6
Mumbai,08/03/2020,80,215,7,7
Mumbai,09/03/2020,102,67,2,7
Mumbai,10/03/2020,100,51,7,6
Mumbai,11/03/2020,57,55,10,6
Mumbai,12/03/2020,64,64,18,6
Mumbai,13/03/2020,78,77,20,7
Mumbai,14/03/2020,88,92,26,9
Mumbai,15/03/2020,125,97,34,9
Mumbai,16/03/2020,136,81,35,9
Mumbai,17/03/2020,121,71,24,9
Mumbai,18/03/2020,106,57,15,7
Mumbai,19/03/2020,82,50,10,6
Mumbai,20/03/2020,68,48,12,6
Mumbai,21/03/2020,72,40,11,5
Mumbai,22/03/2020,65,56,18,6
Mumbai,23/03/2020,88,67,19,7
Mumbai,24/03/2020,118,61,12,6
Mumbai,25/03/2020,100,57,15,6
Mumbai,26/03/2020,99,58,14,6
Mumbai,27/03/2020,87,52,18,6
Mumbai,28/03/2020,90,54,23,6
Mumbai,29/03/2020,82,51,19,6
Mumbai,30/03/2020,83,47,14,6
Mumbai,31/03/2020,80,46,17,6
Mumbai,01/04/2020,72,59,19,6
Mumbai,02/04/2020,89,67,14,6
Mumbai,03/04/2020,83,65,15,6
Mumbai,04/04/2020,90,62,19,6
Mumbai,05/04/2020,95,50,12,5
Mumbai,06/04/2020,73,59,10,5
Mumbai,07/04/2020,79,72,8,5
Mumbai,08/04/2020,88,70,8,5
Mumbai,09/04/2020,84,67,11,6
Mumbai,10/04/2020,83,68,13,7
Mumbai,11/04/2020,99,64,13,7
Mumbai,12/04/2020,88,60,13,9
Mumbai,13/04/2020,79,58,14,15
Mumbai,14/04/2020,84,51,14,24
Mumbai,15/04/2020,78,47,10,21
Mumbai,16/04/2020,69,49,11,23
Mumbai,17/04/2020,71,48,11,23
Mumbai,18/04/2020,64,57,13,24
Mumbai,19/04/2020,69,59,15,21
Mumbai,20/04/2020,80,52,11,14
Mumbai,21/04/2020,61,52,8,7
Mumbai,22/04/2020,59,53,14,4
Mumbai,23/04/2020,67,42,13,1
Mumbai,24/04/2020,56,44,18,1
Mumbai,25/04/2020,53,48,20,1
Mumbai,26/04/2020,56,44,16,1
Mumbai,27/04/2020,54,49,19,1
Mumbai,28/04/2020,61,56,17,1
Mumbai,29/04/2020,64,56,15,1
Mumbai,30/04/2020,63,186,14,1
Mumbai,01/05/2020,54, ,13,1
Mumbai,02/05/2020,45,18,14,1
Mumbai,03/05/2020,74,13,13,1
Mumbai,04/05/2020,41,8,13,1
Mumbai,05/05/2020,43,27,18,1
Mumbai,06/05/2020,42,9,17,1
Mumbai,07/05/2020,40,14,14,1
Mumbai,08/05/2020,50,29,15,1
Mumbai,09/05/2020,46,25,13,1
Mumbai,10/05/2020,46,36,16,1
Mumbai,11/05/2020,57,41,13,1
Mumbai,12/05/2020,47,35,11,1
Mumbai,13/05/2020,48,24,13,1
Mumbai,14/05/2020,52,31,20,1
Mumbai,15/05/2020,58,68,12,1
Mumbai,16/05/2020,81,69,14,1
Mumbai,17/05/2020,91,37,13,1
Mumbai,18/05/2020,67,35,12,1
Mumbai,19/05/2020,52,25,8,1
Mumbai,20/05/2020,43,13,9,2
Mumbai,21/05/2020,35,53,8,1
Mumbai,22/05/2020,38,27,9,2
Mumbai,23/05/2020,43,22,7,2
Mumbai,24/05/2020,41,6,8,2
Mumbai,25/05/2020,37,14,7,2
Mumbai,26/05/2020,41,19,6,1
Mumbai,27/05/2020,37,16,7,2
Mumbai,28/05/2020,34,6,5,2
Mumbai,29/05/2020,20,14,4,1
Mumbai,30/05/2020,26,11,7,2
Mumbai,31/05/2020,29,30,4,2
Mumbai,01/06/2020,62,36,10,4
Mumbai,02/06/2020,84,10,7,2
Mumbai,03/06/2020,31,7,4,3
Mumbai,04/06/2020,38,10,9,3
Mumbai,05/06/2020,40,17,2,2
Mumbai,06/06/2020,40,24,3,3
