,Date,Country,City,Specie,count,min,max,median,variance
3124,03/04/2020,IN,Hyderabad,no2,89,0.1,28.2,5.8,780.67
3125,23/04/2020,IN,Hyderabad,no2,118,0.4,23.1,7.0,490.29
3126,01/05/2020,IN,Hyderabad,no2,120,1.1,23.4,6.4,481.62
3127,11/02/2020,IN,Hyderabad,no2,120,2.7,485.1,14.0,33112.7
3128,17/03/2020,IN,Hyderabad,no2,99,4.1,25.2,11.5,245.05
3129,04/05/2020,IN,Hyderabad,no2,120,1.3,24.9,6.3,543.66
3130,21/05/2020,IN,Hyderabad,no2,108,2.2,57.0,10.7,997.79
3131,05/05/2020,IN,Hyderabad,no2,120,0.4,24.4,6.6,540.03
3132,07/05/2020,IN,Hyderabad,no2,120,1.0,23.4,6.0,483.57
3133,09/05/2020,IN,Hyderabad,no2,120,0.9,22.5,6.5,395.21
3134,11/05/2020,IN,Hyderabad,no2,109,0.8,28.1,10.7,636.0
3135,07/06/2020,IN,Hyderabad,no2,96,1.6,21.9,5.3,135.4
3136,04/02/2020,IN,Hyderabad,no2,98,1.5,32.5,13.5,571.61
3137,10/02/2020,IN,Hyderabad,no2,120,4.2,471.4,9.8,31647.6
3138,16/03/2020,IN,Hyderabad,no2,114,0.3,26.3,11.3,318.26
3139,05/04/2020,IN,Hyderabad,no2,94,0.2,28.5,4.5,941.51
3140,13/04/2020,IN,Hyderabad,no2,120,0.2,497.7,7.4,36295.9
3141,16/05/2020,IN,Hyderabad,no2,120,1.5,24.9,9.9,446.82
3142,26/05/2020,IN,Hyderabad,no2,107,1.7,23.6,8.4,413.9
3143,30/01/2020,IN,Hyderabad,no2,92,3.3,34.2,15.1,542.3
3144,13/02/2020,IN,Hyderabad,no2,120,1.8,46.2,18.0,1116.88
3145,28/03/2020,IN,Hyderabad,no2,103,0.1,13.6,3.6,140.96
3146,14/04/2020,IN,Hyderabad,no2,115,0.6,18.7,7.5,207.34
3147,29/06/2020,IN,Hyderabad,no2,66,1.6,20.5,10.0,198.59
3148,28/01/2020,IN,Hyderabad,no2,120,1.9,36.0,11.6,689.07
3149,22/02/2020,IN,Hyderabad,no2,92,1.6,25.7,9.8,296.96
3150,25/02/2020,IN,Hyderabad,no2,96,2.5,32.0,10.1,350.57
3151,14/03/2020,IN,Hyderabad,no2,120,2.7,26.5,10.7,276.34
3152,18/03/2020,IN,Hyderabad,no2,105,2.1,27.9,12.3,482.23
3153,26/06/2020,IN,Hyderabad,no2,116,0.4,35.2,8.1,333.52
3154,28/06/2020,IN,Hyderabad,no2,112,0.4,26.0,7.8,299.16
3155,02/01/2020,IN,Hyderabad,no2,108,1.9,29.7,11.0,576.37
3156,12/01/2020,IN,Hyderabad,no2,72,3.4,38.8,21.1,771.64
3157,19/02/2020,IN,Hyderabad,no2,106,3.7,45.5,17.6,1062.96
3158,19/03/2020,IN,Hyderabad,no2,120,2.3,38.3,12.6,546.03
3159,10/05/2020,IN,Hyderabad,no2,104,1.7,31.5,7.8,658.17
3475,31/12/2019,IN,Hyderabad,pm25,130,78.0,165.0,127.0,5272.59
3476,14/03/2020,IN,Hyderabad,pm25,144,40.0,158.0,99.0,7914.73
3477,18/04/2020,IN,Hyderabad,pm25,134,68.0,152.0,101.0,3973.46
3478,19/04/2020,IN,Hyderabad,pm25,144,57.0,132.0,85.0,2549.02
3479,23/04/2020,IN,Hyderabad,pm25,142,35.0,153.0,78.0,5681.71
3480,25/01/2020,IN,Hyderabad,pm25,135,90.0,199.0,158.0,4155.29
3481,29/03/2020,IN,Hyderabad,pm25,110,65.0,159.0,112.0,4043.0
3482,27/04/2020,IN,Hyderabad,pm25,144,16.0,153.0,70.0,4618.46
